week_of_month;month;value
1;01;250
1;01;308143
2;01;335307
2;01;269264
3;01;443091
3;01;313356
4;01;203870
4;01;275737
5;01;241327
5;01;101356
6;01;70762
1;02;251268
1;02;227303
2;02;485470
2;02;491315
3;02;300254
3;02;261905
4;02;267584
4;02;176377
5;02;49625
5;02;96590
1;03;178923
1;03;186745
2;03;481389
2;03;600528
3;03;337870
3;03;328568
4;03;261137
4;03;301510
5;03;202311
5;03;233162
1;04;69373
1;04;34240
2;04;454293
2;04;451757
3;04;325054
3;04;618419
4;04;296241
4;04;344129
5;04;214008
5;04;392563
6;04;27740
1;05;455175
1;05;284903
2;05;391132
2;05;486557
3;05;235928
3;05;212107
4;05;251838
4;05;193914
5;05;93648
5;05;219417
1;06;233303
1;06;206626
2;06;660415
2;06;460099
3;06;353990
3;06;462407
4;06;351308
4;06;379417
5;06;176566
5;06;227491
1;07;77025
1;07;74783
2;07;505092
2;07;589299
3;07;325452
3;07;596321
4;07;346261
4;07;341514
5;07;239215
5;07;331948
6;07;28508
6;07;131720
1;08;424368
1;08;427064
2;08;489840
2;08;591518
3;08;304957
3;08;455675
4;08;236162
4;08;334642
5;08;172735
5;08;127037
1;09;141680
1;09;131723
2;09;521325
2;09;623128
3;09;375052
3;09;565073
4;09;292538
4;09;296476
5;09;144309
5;09;303689
1;10;29030
1;10;501547
2;10;367204
2;10;432592
3;10;303992
3;10;377466
4;10;353306
4;10;307607
5;10;343581
5;10;144476
6;10;43015
1;11;332112
1;11;218259
2;11;306318
2;11;660515
3;11;303551
3;11;497004
4;11;327834
4;11;309493
5;11;175451
5;11;156864
1;12;88400
1;12;90345
2;12;538196
2;12;709261
3;12;289603
3;12;538531
4;12;382287
4;12;283563
5;12;289155
5;12;196337
6;12;4755
